key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,221,221,221,221,221,221,221,221,221,221,221,221
num_edges,299,295,293,293,293,293,291,290,284,284,282,252
num_ops,54,54,54,54,54,54,54,54,54,54,54,54
num_read,48,48,48,48,48,48,48,48,48,48,48,48
num_writes,6,6,6,6,6,6,6,6,6,6,6,6
num_time_edges,83,74,69,69,65,63,59,54,44,41,38,0
num_races,139,139,139,139,139,139,139,139,139,139,139,139
num_harmful,0,9,14,14,18,20,24,29,33,36,37,49
num_commute,56,56,56,56,56,56,56,56,56,56,56,56
num_covered,0,0,0,0,0,0,0,0,6,6,8,34
num_time_filtered_races,83,74,69,69,65,63,59,54,44,41,38,0
num_pkts,21,21,21,21,21,21,21,21,21,21,21,21
num_per_pkt_races,0,4,6,6,8,9,10,12,14,16,16,20
num_per_pkt_inconsistent,0,3,6,6,8,9,10,12,14,15,16,20
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,1,0,0,0,0,0,0,0,1,0,0
num_per_pkt_inconsistent_no_repeat,0,3,4,4,4,4,5,5,7,7,7,5
num_versions,6,6,6,6,6,6,6,6,6,6,6,6
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
