key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,3608,3608,3608,3608,3608,3608,3608,3608,3608,3608,3608,3608
num_edges,6173,6102,6032,5974,5936,5870,5663,5581,5492,5397,5311,4389
num_ops,682,682,682,682,682,682,682,682,682,682,682,682
num_read,369,369,369,369,369,369,369,369,369,369,369,369
num_writes,313,313,313,313,313,313,313,313,313,313,313,313
num_time_edges,2014,1892,1787,1700,1631,1539,1364,1283,1191,1099,1022,0
num_races,162829,162829,162829,162829,162829,162829,163000,163034,163069,163111,163160,162829
num_harmful,0,122,227,314,383,470,646,718,799,887,967,1840
num_commute,160815,160815,160815,160815,160815,160815,160974,161006,161036,161073,161116,160815
num_covered,0,0,0,0,0,5,16,27,43,52,55,174
num_time_filtered_races,2014,1892,1787,1700,1631,1539,1364,1283,1191,1099,1022,0
num_pkts,371,371,371,371,371,371,371,371,371,371,371,371
num_per_pkt_races,0,98,159,205,244,283,306,316,331,340,348,368
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,0,0,5,16,27,43,52,55,172
num_per_pkt_entry_version_race,0,98,159,205,244,278,290,289,288,288,293,196
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,272,272,272,272,272,272,272,272,272,272,272,272
num_racing_versions,0,8,26,47,58,63,134,145,159,176,204,360
